taxonomic lineage,TR2-64-1,WC-10-1,TR1-62-2,TR2-44-2,WC-30-2,TR1-52-2,TR1-42-2,TR2-24-2,WC-50-2,WC-40-2,WC-35-2,TR1-32-2,WC-20-2,TR2-34-2,Mel1-3,Mel1M-2,Mel2S-3,Mel3S-1,Ritt1-3,Ritt3-3,Ritt3M-3
super kingdom.Archaea;phylum.Crenarchaeota;class.Nitrososphaeria,0,0,0,0,13,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0
super kingdom.Archaea;phylum.Crenarchaeota;class.Nitrososphaeria,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
super kingdom.Archaea;phylum.Crenarchaeota;class.Nitrososphaeria,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
super kingdom.Archaea;phylum.Crenarchaeota;class.Nitrososphaeria,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
super kingdom.Archaea;phylum.Crenarchaeota;class.Nitrososphaeria,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
super kingdom.Archaea;phylum.Crenarchaeota;class.Nitrososphaeria,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
super kingdom.Archaea;phylum.Crenarchaeota;class.Nitrososphaeria,0,0,7,87,0,0,0,586,0,0,0,23,0,829,0,0,0,0,0,0,0
super kingdom.Archaea;phylum.Crenarchaeota;class.Nitrososphaeria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,57,11,0,0,0
super kingdom.Archaea;phylum.Crenarchaeota;class.Nitrososphaeria,0,0,9382,10897,20,5819,3671,730,3156,746,210,26195,0,9897,237,2,4,12,1112,5143,4151
super kingdom.Archaea;phylum.Crenarchaeota;class.Nitrososphaeria,0,0,1489,1981,0,3967,604,0,0,0,0,2313,0,121,0,0,0,0,0,0,0
super kingdom.Archaea;phylum.Crenarchaeota;class.Nitrososphaeria,0,0,0,0,0,0,0,0,0,0,0,697,0,0,0,0,0,0,0,110,0
super kingdom.Archaea;phylum.Crenarchaeota;class.Nitrososphaeria,110,518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
super kingdom.Archaea;phylum.Crenarchaeota;class.Nitrososphaeria,0,0,80,0,0,97,86,0,0,0,0,289,0,0,0,0,0,0,0,0,0
super kingdom.Archaea;phylum.Crenarchaeota;class.Nitrososphaeria,0,0,0,275,0,0,0,0,0,0,0,0,0,197,0,0,0,0,0,0,0
super kingdom.Archaea;phylum.Crenarchaeota;class.Nitrososphaeria,0,0,0,0,0,0,0,0,0,0,0,292,0,0,0,0,0,0,0,0,0
super kingdom.Archaea;phylum.Crenarchaeota;class.Nitrososphaeria,0,0,235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
super kingdom.Archaea;phylum.Crenarchaeota;class.Nitrososphaeria,0,0,0,0,0,177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
super kingdom.Archaea;phylum.Crenarchaeota;class.Nitrososphaeria,0,0,0,0,0,0,0,0,44,14,0,0,0,0,0,0,0,0,0,0,97
super kingdom.Archaea;phylum.Crenarchaeota;class.Nitrososphaeria,0,0,28,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0
super kingdom.Archaea;phylum.Crenarchaeota;class.Nitrososphaeria,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0
super kingdom.Archaea;phylum.Crenarchaeota;class.Nitrososphaeria,0,0,6,0,0,0,0,0,0,0,0,9,0,3,0,0,0,0,0,0,3
super kingdom.Archaea;phylum.NA;class.NA,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
super kingdom.Archaea;phylum.Thermoplasmatota;class.Thermoplasmata,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Abditibacteriota;class.Abditibacteria,0,0,11,61,0,0,6,300,0,0,0,0,0,60,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Abditibacteriota;class.Abditibacteria,0,0,54,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Abditibacteriota;class.Abditibacteria,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Abditibacteriota;class.Abditibacteria,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Acidobacteriota;class.Acidobacteriae,0,0,0,0,185,0,0,0,175,480,794,0,18,0,0,6,59,10,0,0,11
super kingdom.Bacteria;phylum.Acidobacteriota;class.Acidobacteriae,0,0,0,0,80,0,10,0,60,678,70,0,22,0,210,109,11,0,0,0,51
super kingdom.Bacteria;phylum.Acidobacteriota;class.Acidobacteriae,0,0,0,13,0,0,0,462,0,0,0,20,0,161,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Acidobacteriota;class.Acidobacteriae,0,0,0,69,0,0,0,263,0,0,0,0,0,194,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Acidobacteriota;class.Acidobacteriae,0,0,0,41,0,0,20,346,0,0,0,0,0,88,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Acidobacteriota;class.Acidobacteriae,0,0,0,80,0,0,0,56,0,0,0,20,0,228,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Acidobacteriota;class.Acidobacteriae,0,0,29,115,0,0,14,157,0,0,0,14,0,32,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Acidobacteriota;class.Acidobacteriae,0,0,0,32,0,0,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Acidobacteriota;class.Acidobacteriae,0,0,0,0,30,0,0,0,10,0,100,0,0,0,0,0,0,0,0,0,12
super kingdom.Bacteria;phylum.Acidobacteriota;class.Acidobacteriae,0,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Acidobacteriota;class.Acidobacteriae,0,0,0,0,0,0,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Acidobacteriota;class.Acidobacteriae,0,0,0,0,0,0,0,57,0,0,0,0,0,13,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Acidobacteriota;class.Acidobacteriae,0,0,0,10,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Acidobacteriota;class.Acidobacteriae,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Acidobacteriota;class.Acidobacteriae,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Acidobacteriota;class.Acidobacteriae,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Acidobacteriota;class.Acidobacteriae,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Acidobacteriota;class.Acidobacteriae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0
