"","ASV","TR2-64-1","WC-10-1","TR1-62-2","TR2-44-2","WC-30-2","TR1-52-2","TR1-42-2","TR2-24-2","WC-50-2","WC-40-2","WC-35-2","TR1-32-2","Mel1-3","Mel1M-2","Mel2S-3","Mel3S-1","Ritt1-3","Ritt3-3","Ritt3M-3","WC-20-2","TR2-34-2","count","reads","median","dev"
"35","ASV_37",0,0,0.001509149,0.01307983,0.0002473615,0.03688724,0.02528188,0.0003206413,0.003416052,0.007059721,0.005668178,0.002096743,8.303406e-05,0.0001516235,0.0008255633,0,0,0,0,0.009229234,0.01676553,"15",0.00583913241238095,0.0008255633,0.00980399775537379
"36","ASV_38",0,0,0,0,0.0006184037,0,0,0,0.0210460185,0.0462936463,0.0269182893,0,0.003259087,0.0063465246,0.0052933178,0.0039354784,0,0,0,0.0164906738,0,"9",0.00620006854285714,0,0.0119793676884185
"37","ASV_39",0,0,0.029617053,0.016967817,0,0.00525016,0,0.007027388,0,0,0,0.018826703,0,0,0,0,0,0,0,0,0.027893524,"6",0.005027745,0,0.00960123902364091
"38","ASV_40",0,0,0,0,0.013336906,0,0,0,0.020908591,0.004364625,0.007557571,0,0.002553297,0.019862672,0.018939394,0.018359936,0,0,0.00040049,0.002605249,0,"10",0.00518517766666667,0,0.00784341229341265
"39","ASV_41",0,0,0,0.0319129809,0,0.0006222412,0.0147299071,0.006252505,0,0,0,0.0048972889,0,0,0,0,0,0.0007606414,0.0002120241,0,0.04193016,"8",0.0048246546952381,0,0.01133316295269
"40","ASV_42",0,0,0.0106688465,0.0020451277,0.0002473615,0.0158477065,0.0101770267,0,0.0133697189,0.0038876169,0.0066906731,0.0006891395,0.0081996139,0.0081010245,0.0034965035,0.0011485516,0.0058165682,0.0071196032,0.0140878251,0,0.0022550125,"17",0.00542132951428571,0.0038876169,0.0051437518477092
"41","ASV_43",0,0,0,0,0.0005153364,0,0,0,0.0019828805,0.0025996947,0.0451453721,0,0.0064143815,0.005046895,0.0009955322,0.0261971117,0,0,0.0113315115,0,0,"9",0.00477279598095238,0,0.0110747179379389
"42","ASV_44",0,0,0,0,0.0066993734,0,0,0,0,0.0002623545,0,0,0,0,0,0,0,0,0,0.1139380838,0,"3",0.00575713389047619,0,0.0248302244961276
"43","ASV_45",0,0,0.004841854,0.001415858,0.000453496,0.013844867,0.019095316,0,0.019534318,0.002003434,0.00684627,0.001480917,0.002179644,0.002837525,0.001554002,0.00109788,0.003268072,0.008062799,0.001813984,0.002217233,0.004771476,"18",0.00463423547619048,0.002179644,0.00586821766242251
"44","ASV_46",0,0,0,0,0.017665732,0,0,0,0.010267787,0.0087054,0.01249222,0,0.00336288,0.009530617,0.012553419,0.013140782,0,0,0,0.004628475,0,"9",0.00439749104761905,0,0.00590373395467525
"45","ASV_47",0,0,6.288122e-05,0.001977706,8.245383e-05,0.001788944,0.0007766678,0,0.006753573,0.05075367,0.01702676,0.0008064398,0.004504598,0.0002382654,0.002403846,0.003563888,0,0,0,0.002328095,0.001830155,"15",0.00451894966904762,0.0008064398,0.0112663008288425
"46","ASV_48",0,0,0,0,6.184037e-05,0,0,0,0.002728915,0,6.668445e-05,0,0.04888631,0.03292395,0.0003399378,0.0004560426,0,0,0,0,0,"7",0.00406969905809524,0,0.012517637777974
"47","ASV_49",0,0,0,0,0.0149447559,0,0,0,0.0035338464,0.0102795268,0.0054014404,0,0.0128910385,0.019711049,0.0100281663,0.0058609915,0,0.0002434052,0.0004240482,0.0041850281,0,"11",0.00416682363333333,0.0002434052,0.00597260586367521
"48","ASV_50",0,0,0,0,0,0,0,0,0.0003141197,0.0278334287,0.0022005868,0,0,0.0038555678,0,0,0.0350193386,0.0299084188,0.0042875989,0.0050996369,0,"8",0.00516755696190476,0,0.0109521396484894
"49","ASV_51",0,0,0.0070007755,0.0059780654,0,0.0046473642,0.0034012695,0,0.0037105387,0.0067496661,0.0012447764,0.0084896116,0.0043177714,0.0007797778,0.0001214064,0.0001520142,0.0245854946,0.0087930143,0.0081040332,0.0001108617,0.0001797474,"17",0.00420791373333333,0.0034012695,0.00568242539412384
"50","ASV_52",0,0,0,0,0.020819591,0,0,0,0.0150188472,0.0066542645,0.0314528319,0,0.0004566874,0.0011696666,0.0001456876,0,0,0,0,0.0025498185,0,"8",0.00372701879523809,0,0.00839337966103297
"51","ASV_53",0,0,0.0007126538,0.0028317152,0,0.0001166702,0.0008570128,0.0110888444,0,0,0,0.0008504274,0,0,0,0,0,0,0,0,0.0484010654,"7",0.00308849472380952,0,0.0106660878610521
"52","ASV_54",0,0,0,0,0.010409796,0,0,0,0.008010052,0.00116867,0.002600694,0,0,0.001126346,0.043609169,0.007161557,0,0,0,0.002244949,0,"8",0.00363482061904762,0,0.00965028449302987
"53","ASV_55",0,0,0,0.006427544,0,0,0.0005624146,0.0470541082,0,0,0,0,0,0,0,0,0,0,0,0,0.0220762456,"4",0.00362477678095238,0,0.0111066651371973
"54","ASV_56",0,0,0.0003982477,0.0045622078,0,0.0198339394,0.0041779373,0.0004809619,0,0,0,0.0178736382,0,0,0,0,0,0,0,0,0.0126149975,"7",0.00285437760952381,0,0.00608092172261956
"55","ASV_57",0,0,0,0.01490022,0,9.722519e-05,0.001285519,0.03738143,0,0,0,0.006554156,0,0,0,0,0,0,0,0,0.01354642,"6",0.00351261762809524,0,0.00891180171961218
"56","ASV_58",0,0,0,0.0004045307,0.0075651385,0,0.0239963577,0,0.0085008638,0.0122829613,0.0078909932,0,0.0096942271,0.0063032036,0,0.0003884807,0,0,0,0.0001108617,0,"10",0.00367321991904762,0,0.0062014189183462
"57","ASV_59",0.10820613,0.00101402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2",0.00520095952380952,0,0.0236024842196779
"58","ASV_60",0,0,0,0,0.0311881596,0,0,0,0.0051044448,0.0026473955,0.0038454699,0,0.000685031,0.0004115494,0,0.0002702474,0,0,0,0.0290457582,0,"8",0.00348562170476191,0,0.0089715662206868
"59","ASV_61",0.098776829,0.006613173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2",0.00501857152380952,0,0.0215310110555586
"60","ASV_62",0,0,0,0.032182668,0,0,0,0.027869071,0,0,0,0,0,0,0,0,0,0,0,0,0.009788062,"3",0.00332570480952381,0,0.00915409425785867
"61","ASV_63",0.1005572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1",0.0047884380952381,0,0.0219433800320387
"62","ASV_64",0,0,0.001089941,0.004090255,0,0.0004277908,0.004686789,0,0.004849223,0.0007155123,0,0,0.006082245,0.02148721,0.007600039,0.002989612,0.001079363,0.0004868105,0.009046363,0,8.170335e-05,"14",0.00308156461666667,0.0007155123,0.00506613690711315
"63","ASV_65",0,0,0,0,0.0115641491,0,0,0,0.0056737867,0.0010971189,0.0032008536,0,0.0001245511,0.0031840925,0.0186480186,0.0099484841,0,0,0,0.0082314792,0,"9",0.00293678732380952,0,0.00510334968193167
"64","ASV_66",0,0,0,0,0.0005771768,0,0,0,0.0003337522,0.0241604656,0.0186494176,0,0.001930542,0.0024692963,0.0035693473,0.0031922979,0,0,0,0.0111138827,0,"9",0.00314267516190476,0,0.00663642471180755
"65","ASV_67",0,0,0.0004611289,0.0001573175,0.0008657652,0,0.0012587375,0,0.010307052,0.01686224,0.0086467502,0.0006891395,0.0066842422,0.0071479628,0.0013111888,0.0016552656,0.0017089917,0.0016429854,0.0020495665,0.0007483163,0,"16",0.00296174524285714,0.0012587375,0.0044428860362977
"66","ASV_68",0,0,0,0,0.005916062,0,0,0.0005344021,0.0003533846,0.0035775615,0.0079132213,0,0.0016399228,0.001624537,0.0157828283,0.0146778144,0,0.0003346822,0.0040991331,0.002383526,0.0001634067,"13",0.00280954676190476,0.0003533846,0.00467734344791053
"67","ASV_69",0,0,0,0,0.033538094,0,0,0,0,0,0.002534009,0,0,0,0,0,0,0,0,0.028352873,0,"3",0.003067856,0,0.00932057886868511
"68","ASV_70",0,0,0,0,0.018984993,0,0,0,0.008795351,0.003887617,0.007179692,0,0.003591223,0.003920549,0.002306721,0.004374631,0,0,0,0.005071922,0,"9",0.00276727138095238,0,0.00459394400702392
"69","ASV_71",0.0901388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1",0.00429232380952381,0,0.0196698987644041
"70","ASV_72",0,0,0.01056404,0.002337289,0,0.006027962,0.002196095,0,0.001158316,9.540164e-05,0,0.002126069,0.001494613,0,0,0,0.02749378,0.006115557,0.002473615,0,0.001650408,"12",0.00303491169714286,0.001158316,0.00622515855059003
"71","ASV_73",0.08575385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1",0.00408351666666667,0,0.0187130242266138
"72","ASV_74",0.08532524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1",0.00406310666666667,0,0.0186194938566797
"73","ASV_75",0,0,0,0,0,0,0.006240124,0,0,0,0,0,0,0,0,0,0,0.026348617,0.034677723,0,0,"3",0.00320316495238095,0,0.00927434002465242
"74","ASV_76",0,0,0,0,0.0003092018,0,0,0,0.009286163,0.0030051517,0.0014003734,0,0.0052311461,0.0220720428,0.0054632867,0.0006587281,0.0011093455,0.0034076734,0.0026149642,0,0,"11",0.00259800365238095,0.0003092018,0.00509941486471279
"75","ASV_77",0,0,0,0,0.006926121,0,0,0,0.01172059,0.00462698,0.005534809,0,6.227555e-05,0.00177616,0.007187257,0.001942404,0,0,9.423294e-05,0.01491089,0,"10",0.00260865330904762,0,0.00433250310058048
"76","ASV_78",0,0,0.0001467228,0.0003595829,0.000494723,0,0.0001339082,0,0.0004122821,0.0418097691,0.0032008536,0.000351901,0.0058954186,0.000129963,0,0,0.002128744,0.0002434052,0,0.001191763,0,"13",0.00269043030952381,0.0001467228,0.00907685739463745
"77","ASV_79",0,0,0.004464566,0,0,0,0.005811618,0,0,0,0,0,0,0,0,0,0,0,0,0,0.032158439,"3",0.00202069633333333,0,0.00707857671131887
"78","ASV_80",0,0,0,0,0,0,0,0,0,0,0,0,0.0010794428,0.0008014383,0.0355720668,0.012667849,0,0.0001217026,0,0.0023003797,0,"6",0.00250204186666667,0,0.0080668950332549
"79","ASV_81",0,0,0,0,0,0,0,0,0,0.020821408,0,0,0,0,0.02095474,0,0,0,0.002049567,0.01560378,0,"4",0.00282997595238095,0,0.00689973475227059
"80","ASV_82",0,0,0,0,0.010883905,0,0,0,0.0044369405,0.0016218279,0.0039566107,0,0,0.0003249074,0.014253108,0.0108774597,0,0,0,0.0036584352,0,"8",0.00238158068571429,0,0.00431439680210447
"81","ASV_83",0,0,0,0,0,0,0,0,0,0.0037922152,0,0,0.0021588857,0.0113500986,0.0210761461,0.0069250908,0,0,0.0001177912,0.00828691,0,"7",0.00255748274285714,0,0.00534489903258205
"82","ASV_84",0,0,0,0,0.0075032982,0,0,0,0.0047510602,0.0013833238,0.0054236685,0,0.001972059,0.0056967098,0.0066287879,0.0135123723,0,0,0.0001413494,0.0005543084,0,"10",0.00226509226190476,0,0.00364453090588494
"83","ASV_85",0,0,0.0016558721,0.0079557713,0.0006802441,0.0006222412,0.0125070302,0,0.0039461285,0.002385041,0.0024006402,0.0043254498,0.001287028,0.0034440185,0.0008255633,0.0016214847,0.0030581957,0.0003955335,0.000895213,0,0.0025654852,"17",0.00240814001428571,0.0016214847,0.00300818521144641
"84","ASV_86",0,0,0.0031021401,0.0112144912,0,0.0007972466,0.0155333565,0.0112758851,0,0.0021226865,0.0002445096,0.001759505,0,0,0,0,0,0,0.0002355824,0,0.0062911581,"10",0.00250364576666667,0,0.00458321373388744
"85","ASV_87",0,0,0,0,0.0237467,0,0,0,0.001747291,0.001836482,0.003267538,0,0.0003944118,0.0002815864,0.0001699689,6.756186e-05,0,0.0006997901,0.0004476065,0.0199551,0,"11",0.00250543031238095,6.756186e-05,0.00651287891322165
"86","ASV_88",0,0,0.0059317948,0.0082479324,0,0.0019445039,0.0086772543,0.0010420842,0.000490812,0,0.0007113008,0.0111435316,0,0.0003032469,0.0001214064,0,0.0012892393,0.0006693644,0.0005889559,0,0.0027615733,"14",0.00209157143809524,0.0005889559,0.00336618066652989
"87","ASV_89",0,0,0.006455805,0.008382776,0,0.005036265,0.0058651812,0,0.0004711795,0.0071312727,0,0.0093693641,0,0,0,0,0.0003298054,0,0.0003769318,0,0.0009314182,"10",0.00211190470952381,0,0.00330174294053413
"88","ASV_90",0,0,0,0,0.0031126319,0,0,0,0.006832103,0.0058433505,0.0026896061,0,0.0007057896,0.0047436481,0.0070658508,0.0110125834,0,0,0.0001413494,0.0024112414,0,"10",0.00212181686666667,0,0.00318777534752131
"89","ASV_91",0,0,0,0.0142484718,0,0.0003500107,0,0.0376753507,0,0,0,0.0010410405,0,0,0,0,0,0,0,0,0,"4",0.00253880350952381,0,0.00862641664701156
"90","ASV_93",0.0002637566,0.0930693942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2",0.00444443575238095,0,0.0203066103916941
"91","ASV_94",0,0,0.0048837745,0,0,0.0029750909,0.0002945981,0,0,0.0008347644,0,0,0.0073900318,0.0053501419,0.0004613442,0.0001013428,0,0.0072108802,0.0186816811,0,0.0004248574,"11",0.00231469082380952,0.0001013428,0.00450341301707978
"92","ASV_95",0,0,0,0,0.0057099274,0,0,0,0.0010797864,0.0001908033,0.0024228683,0,0.0003321363,0.0016028765,0.0129419192,0.012667849,0,0,0,0.0061251074,0,"9",0.00205110827619048,0,0.00399682434584776
"93","ASV_96",0,0,0,0.0144507371,0,0,0.0001071266,0.0120507682,0,0,0,0,0,0,0,0,0,0,0,0,0.0143634492,"4",0.00195105148095238,0,0.00490115459083367
"94","ASV_97",0,0,0,0,0.0006596306,0,0,0,0.0248154547,0.0058433505,0.0063350227,0,0.0001245511,0.0007147963,0.0001456876,0.0006587281,0,0.0004868105,0.0002355824,0.0001662925,0,"11",0.00191361461904762,0.0001245511,0.00554491007184008
"95","ASV_98",0,0,0,0,0.0020613456,0,0,0,0.0005889744,0.0025996947,0.011580866,0,0.0045668736,0.0055017653,0.0087412587,0.0030233933,0,0.0004563848,0.0026385224,0.0003880159,0,"11",0.00200700450952381,0.0003880159,0.00320061250172939
"96","ASV_99",0,0,0,0,0.0017109169,0,5.35633e-05,0,0.0073032826,0.004770082,0.0024673246,0,0.0041101862,0.0054584443,0.0067501943,0.0060636771,0,0,0,0.0012194784,0,"10",0.00190034046190476,0,0.00264368038423067
"97","ASV_100",0,0,0,0,0.0013811016,0,0,0,0.0047510602,0.0077036825,0.0118920601,0,0.0003944118,0.0011480062,0,0,0.0005696639,0.0004563848,0.0006596306,0.0163243813,0,"10",0.00215620871428571,0,0.00445275586591982
"98","ASV_101",0.0007912697,0.0815624724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2",0.00392160676666667,0,0.0177905930472528
"99","ASV_102",0,0,0.0023475654,0.002899137,0.0006390172,0.0004277908,0.0062669059,0.0013092852,0.0079707869,0.0014787254,0.0014670579,0.0006891395,0.0035912233,0.0050252345,0.0007527195,0.001199223,0.0008095224,0.0002129796,0,0,0.0027452326,"17",0.00189674029047619,0.001199223,0.00219868674664427
"100","ASV_103",0,0,0,0,0,0,0,0,0,0,0,0,0.0307018454,0,0.0001699689,0.0001857951,0.0083051,0.0020689445,0.0003533735,0,0,"6",0.00198976320952381,0,0.00682973096163667
"101","ASV_104",0,0,0.0005868914,0.0022923409,0,0,0,0.0039812959,0,0,0,0.0006744769,0,0,0,0,0,0,0,0,0.0245273461,"5",0.00152677862857143,0,0.00535977377584386
"102","ASV_105",0,0,0.0006288122,0.0006742179,0,0.0145059988,0.0055973647,0,0.0005104445,0.0012163709,0.0004667911,0.008123048,0,0,0,0,0.0024885318,0,0.0001177912,0,0.0010784842,"11",0.00168608834761905,0.0001177912,0.00359315601557874
"103","ASV_106",0,0,0,0,0.0038134894,0,0,0,0.003435684,0.0114481969,0.0176491509,0,0,0.000129963,0.0014325952,0.0001689047,0,0,0.0002591406,0.0004988775,0,"9",0.00184933343809524,0,0.00446930324004871
"104","ASV_107",0,0,0,0,0.0053594987,0,0,0,0.0086775561,0.0026473955,0.0055125811,0,0.0008303406,0.0023176728,0,0.0019930749,0.0018888856,0.0066936441,0.0021437995,0.0007483163,0,"11",0.00184822691428571,0.0007483163,0.00258116927230888
"105","ASV_108",0,0,0.020520237,0.003910464,0,0.007039104,0.001472991,0,0,0,0,0.002140731,0,0,0,0,0,0,0,0,0,"5",0.00167064414285714,0,0.00465865422177587
"106","ASV_109",0,0,0,0.0022249191,0.0004741095,0,0.0006427596,0.0340414162,0,0,0,0,0,0,0,0,0,0,0,0,0.0047714757,"5",0.00200736571904762,0,0.00742480074564322
"107","ASV_110",0,0,0,0,0.0009894459,0,0,0,0.0160790011,0.0024804427,0.0062905664,0,0.0011417184,0.003162432,0.0036179099,0.0012161135,0.0001499116,0.0003651079,0,0,0,"10",0.00169012616190476,0,0.00368292359609011
"108","ASV_111",0,0,0,0.0002921611,0,0.0014778229,0.0010980476,0,0.0005693419,0.0116151498,0.0017337957,0.0005278515,0.008324165,0.0009314012,0.0023795649,0.0010978802,0.0029382664,0.0007606414,0.0005653977,0.003381281,0.0008006928,"16",0.00183302195714286,0.0008006928,0.00291606694246289
"109","ASV_112",0,0,0,0,0.0019582784,0,0,0,0.0032000942,0,0.0024450965,0,0.0005189629,0.0024259753,0.0097125097,0.0109450215,0.0002698408,0.0003042565,0.0023087071,0.000332585,0,"11",0.00163911085238095,0.0002698408,0.00307831713966929
"110","ASV_113",0,0,0,0,0,0,0,0,0.0213208733,0.0038637665,0,0,0,0.0061515801,0,0.0007093995,0,0,0.0018375424,0,0,"5",0.0016134838952381,0,0.00477786637216992
"111","ASV_114",0,0,0,0.0004719525,0,0,0,0.0337742151,0,0,0,0,0,0,0,0,0,0,0,0,0.0056702126,"3",0.00190078000952381,0,0.00740675164352029
"112","ASV_115",0,0,0,0,0.0039371702,0,0,0,0.0029645045,0.0055332952,0.0195385436,0,0.0002283437,0.0005415123,0,0.0014694705,0,0,0.0001413494,0,0,"8",0.00163591378095238,0,0.00437599043440714
"113","ASV_116",0,0,0,0.002382237,0,0,0.004579662,0.031529726,0,0,0,0,0,0,0,0,0,0,0,0,0.001977221,"4",0.0019270879047619,0,0.00688002310326811
