"","Intersect","bin"
"83","Erebus-WC..Melbourne..Rittmann","Mel_bin.32.strict_final"
"84","Erebus-WC..Melbourne..Rittmann","Ritt_bin.1.strict_final"
"85","Erebus-WC..Melbourne..Rittmann","Ritt_bin.10.strict_final"
"86","Erebus-WC..Melbourne..Rittmann","Ritt_bin.15.permissive_final"
"87","Erebus-WC..Melbourne..Rittmann","Ritt_bin.5.strict_final"
"88","Erebus-WC..Melbourne..Rittmann","Ritt_bin.6.strict_final"
"89","Erebus-TR..Erebus-WC..Rittmann","Erebus-WC_bin.27.orig_final"
"90","Erebus-TR..Erebus-WC..Rittmann","Erebus-WC_bin.30.orig_final"
"91","Erebus-TR..Erebus-WC..Rittmann","Erebus-WC_bin.6.orig_final"
"92","Erebus-TR..Erebus-WC..Rittmann","Erebus-WC_bin.60.permissive_final"
"93","Erebus-TR..Erebus-WC..Rittmann","Ritt_bin.11.strict_final"
"94","Erebus-TR..Erebus-WC..Rittmann","Ritt_bin.13.permissive_final"
"95","Erebus-TR..Erebus-WC..Rittmann","Ritt_bin.3.strict_final"
"96","Erebus-TR..Erebus-WC..Rittmann","Ritt_bin.9.permissive_final"
"97","Erebus-TR..Erebus-WC..Melbourne..Rittmann","Erebus-TR_bin.23.permissive_final"
"98","Erebus-TR..Erebus-WC..Melbourne..Rittmann","Mel_bin.3.permissive_final"
"99","Rittmann","Ritt_bin.7.strict_final"
"100","Rittmann","Ritt_bin.8.strict_final"
"101","Melbourne","Mel_bin.10.orig_final"
"102","Melbourne","Mel_bin.16.orig_final"
"103","Melbourne","Mel_bin.19.orig_final"
"104","Melbourne","Mel_bin.22.strict_final"
"105","Melbourne","Mel_bin.23.orig_final"
"106","Melbourne","Mel_bin.30.orig_final"
"107","Melbourne","Mel_bin.31.orig_final"
"108","Melbourne","Mel_bin.35.orig_final"
"109","Melbourne","Mel_bin.38.permissive_final"
"110","Melbourne","Mel_bin.40.permissive_final"
"111","Melbourne","Mel_bin.42.orig_final"
